step,source_log,val/text/test_score,val/text/tool_call_count/mean,val/success_rate,val/webshop_task_score (not success_rate),step_level_group_size,global_seqlen/min,global_seqlen/max,global_seqlen/minmax_diff,global_seqlen/balanced_min,global_seqlen/balanced_max,global_seqlen/mean,actor/entropy_loss,training/rollout_probs_diff_max,training/rollout_probs_diff_mean,training/rollout_probs_diff_std,episode/valid_action_ratio,actor/kl_loss,actor/kl_coef,actor/pg_loss,actor/pg_clipfrac,actor/ppo_kl,actor/pg_clipfrac_lower,actor/grad_norm,perf/mfu/actor,perf/max_memory_allocated_gb,perf/max_memory_reserved_gb,perf/cpu_memory_used_gb,actor/lr,training/global_step,training/epoch,critic/score/mean,critic/score/max,critic/score/min,critic/rewards/mean,critic/rewards/max,critic/rewards/min,critic/advantages/mean,critic/advantages/max,critic/advantages/min,critic/returns/mean,critic/returns/max,critic/returns/min,response_length/mean,response_length/max,response_length/min,response_length/clip_ratio,prompt_length/mean,prompt_length/max,prompt_length/min,prompt_length/clip_ratio,episode/reward/mean,episode/reward/max,episode/reward/min,episode/length/mean,episode/length/max,episode/length/min,episode/tool_call_count/mean,episode/success_rate,episode/webshop_task_score (not success_rate),timing_s/gen,timing_s/reward,timing_s/old_log_prob,timing_s/ref,timing_s/adv,timing_s/update_actor,timing_s/step,timing_per_token_ms/gen,timing_per_token_ms/update_actor,timing_per_token_ms/ref,timing_per_token_ms/adv,perf/total_num_tokens,perf/time_per_step,perf/throughput,timing_s/testing
10,logs\rl\qwen15b_gigpo_medium_128_64_20260518_145752.log,,,,,2.1052631578947367,47517.0,47517.0,0.0,47517.0,47517.0,47517.0,0.72,0.109,0.006,0.01,0.975,0.09,0.01,0.0,0.0,0.002,0.0,0.198,0.232,66.014,74.318,141.521,0.0,10.0,0.0,-0.002,0.0,-0.1,-0.002,0.0,-0.1,-0.003,0.06,-0.14,-0.003,0.06,-0.14,78.625,128.0,48.0,0.025,1109.3,2233.0,202.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,8.718,0.018,2.245,6.123,0.008,7.506,24.624,2.772,0.158,0.129,0.0,47517.0,24.624,1929.725,
11,logs\rl\qwen15b_gigpo_medium_128_64_20260518_145752.log,,,,,1.9,44331.0,44331.0,0.0,44331.0,44331.0,44331.0,0.737,0.122,0.006,0.011,0.921,0.02,0.01,0.0,0.005,-0.001,0.0,0.382,0.236,66.014,74.318,136.628,0.0,11.0,0.0,-0.008,0.0,-0.1,-0.008,0.0,-0.1,-0.002,0.07,-0.154,-0.002,0.07,-0.154,89.711,128.0,47.0,0.105,1076.895,2425.0,214.0,0.0,0.0,0.0,0.0,4.75,5.0,3.0,0.0,0.0,0.0,9.077,0.016,2.109,5.813,0.013,6.903,23.937,2.663,0.156,0.131,0.0,44331.0,23.937,1851.952,
12,logs\rl\qwen15b_gigpo_medium_128_64_20260518_145752.log,,,,,2.111111111111111,45096.0,45096.0,0.0,45096.0,45096.0,45096.0,0.761,0.122,0.005,0.01,0.947,0.054,0.01,-0.0,0.002,0.0,0.0,0.238,0.218,66.014,74.318,137.248,0.0,12.0,0.0,-0.005,0.0,-0.1,-0.005,0.0,-0.1,-0.003,0.053,-0.16,-0.003,0.053,-0.16,86.395,128.0,36.0,0.053,1100.342,2179.0,210.0,0.0,0.0,0.0,0.0,4.75,5.0,3.0,0.0,0.0,0.054,9.063,0.016,2.109,5.865,0.008,7.59,24.657,2.761,0.168,0.13,0.0,45096.0,24.657,1828.9,
13,logs\rl\qwen15b_gigpo_medium_128_64_20260518_145752.log,,,,,2.2941176470588234,47882.0,47882.0,0.0,47882.0,47882.0,47882.0,0.904,0.082,0.005,0.009,0.795,0.101,0.01,-0.0,0.005,0.001,0.0,0.687,0.24,66.014,74.318,137.317,0.0,13.0,0.0,-0.021,0.0,-0.1,-0.021,0.0,-0.1,-0.008,0.09,-0.155,-0.008,0.09,-0.155,96.513,128.0,31.0,0.179,1131.231,2249.0,210.0,0.0,0.0,0.0,0.0,4.875,5.0,4.0,0.0,0.0,0.075,9.232,0.017,2.189,6.063,0.008,7.349,24.863,2.453,0.153,0.127,0.0,47882.0,24.863,1925.822,
14,logs\rl\qwen15b_gigpo_medium_128_64_20260518_145752.log,,,,,2.3529411764705883,49674.0,49674.0,0.0,49674.0,49674.0,49674.0,0.96,0.081,0.006,0.009,0.875,0.049,0.01,-0.0,0.009,0.0,0.0,0.504,0.242,66.014,74.318,139.0,0.0,14.0,0.0,-0.013,0.0,-0.1,-0.013,0.0,-0.1,-0.008,0.08,-0.157,-0.008,0.08,-0.157,93.1,128.0,45.0,0.125,1148.75,2339.0,222.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,9.547,0.017,2.479,6.171,0.009,7.561,25.79,2.564,0.152,0.124,0.0,49674.0,25.79,1926.107,
15,logs\rl\qwen15b_gigpo_medium_128_64_20260518_145752.log,,,,,2.1052631578947367,43286.0,43286.0,0.0,43286.0,43286.0,43286.0,0.849,0.116,0.005,0.01,0.95,0.081,0.01,-0.0,0.002,0.001,0.0,0.251,0.216,66.014,74.318,136.941,0.0,15.0,0.0,-0.005,0.0,-0.1,-0.005,0.0,-0.1,-0.004,0.07,-0.147,-0.004,0.07,-0.147,86.075,128.0,49.0,0.05,996.075,1825.0,195.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,9.291,0.017,2.099,6.069,0.009,7.274,24.764,2.698,0.168,0.14,0.0,43286.0,24.764,1747.971,
16,logs\rl\qwen15b_gigpo_medium_128_64_20260518_145752.log,0.0,0.0,0.0,0.071,2.176470588235294,39588.0,39588.0,0.0,39588.0,39588.0,39588.0,0.86,0.108,0.005,0.009,0.892,0.041,0.01,-0.0,0.001,-0.0,0.0,0.302,0.221,66.014,74.318,137.006,0.0,16.0,0.0,-0.011,0.0,-0.1,-0.011,0.0,-0.1,-0.004,0.09,-0.127,-0.004,0.09,-0.127,89.703,128.0,53.0,0.108,980.243,2321.0,208.0,0.0,0.0,0.0,0.0,4.625,5.0,3.0,0.0,0.0,0.087,8.988,0.014,1.98,5.612,0.008,6.541,445.809,2.708,0.165,0.142,0.0,39588.0,445.809,88.8,422.661
17,logs\rl\qwen15b_gigpo_medium_128_64_20260518_145752.log,,,,,1.7272727272727273,41234.0,41234.0,0.0,41234.0,41234.0,41234.0,0.894,0.122,0.005,0.009,0.921,0.09,0.01,0.0,0.0,0.001,0.0,0.352,0.224,66.014,74.318,137.195,0.0,17.0,0.0,-0.008,0.0,-0.1,-0.008,0.0,-0.1,-0.005,0.07,-0.147,-0.005,0.07,-0.147,86.526,128.0,45.0,0.132,998.579,2176.0,210.0,0.0,0.0,0.0,0.0,4.75,5.0,4.0,0.0,0.0,0.164,8.896,0.015,2.001,5.764,0.008,6.713,23.404,2.706,0.163,0.14,0.0,41234.0,23.404,1761.811,
18,logs\rl\qwen15b_gigpo_medium_128_64_20260518_145752.log,,,,,2.1052631578947367,47888.0,47888.0,0.0,47888.0,47888.0,47888.0,0.747,0.12,0.005,0.01,0.95,0.059,0.01,0.0,0.003,0.0,0.0,0.256,0.233,66.014,74.318,136.992,0.0,18.0,0.0,-0.005,0.0,-0.1,-0.005,0.0,-0.1,-0.005,0.027,-0.173,-0.005,0.027,-0.173,88.35,128.0,59.0,0.1,1108.85,2271.0,210.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,9.252,0.017,2.162,6.125,0.008,7.554,25.124,2.618,0.158,0.128,0.0,47888.0,25.124,1906.035,
19,logs\rl\qwen15b_gigpo_medium_128_64_20260518_145752.log,,,,,2.0526315789473686,41954.0,41954.0,0.0,41954.0,41954.0,41954.0,0.877,0.197,0.005,0.01,0.897,0.062,0.01,0.0,0.005,0.002,0.0,0.396,0.216,66.014,74.318,136.723,0.0,19.0,0.0,-0.01,0.0,-0.1,-0.01,0.0,-0.1,-0.009,0.061,-0.157,-0.009,0.061,-0.157,87.59,128.0,54.0,0.103,988.154,1845.0,191.0,0.0,0.0,0.0,0.0,4.875,5.0,4.0,0.0,0.0,0.0,8.896,0.016,2.238,5.924,0.008,7.055,24.142,2.604,0.168,0.141,0.0,41954.0,24.142,1737.784,
