step,source_log,val/text/test_score,val/text/tool_call_count/mean,val/success_rate,val/webshop_task_score (not success_rate),step_level_group_size,global_seqlen/min,global_seqlen/max,global_seqlen/minmax_diff,global_seqlen/balanced_min,global_seqlen/balanced_max,global_seqlen/mean,actor/entropy_loss,training/rollout_probs_diff_max,training/rollout_probs_diff_mean,training/rollout_probs_diff_std,episode/valid_action_ratio,actor/kl_loss,actor/kl_coef,actor/pg_loss,actor/pg_clipfrac,actor/ppo_kl,actor/pg_clipfrac_lower,actor/grad_norm,perf/mfu/actor,perf/max_memory_allocated_gb,perf/max_memory_reserved_gb,perf/cpu_memory_used_gb,actor/lr,training/global_step,training/epoch,critic/score/mean,critic/score/max,critic/score/min,critic/rewards/mean,critic/rewards/max,critic/rewards/min,critic/advantages/mean,critic/advantages/max,critic/advantages/min,critic/returns/mean,critic/returns/max,critic/returns/min,response_length/mean,response_length/max,response_length/min,response_length/clip_ratio,prompt_length/mean,prompt_length/max,prompt_length/min,prompt_length/clip_ratio,episode/reward/mean,episode/reward/max,episode/reward/min,episode/length/mean,episode/length/max,episode/length/min,episode/tool_call_count/mean,episode/success_rate,episode/webshop_task_score (not success_rate),timing_s/gen,timing_s/reward,timing_s/old_log_prob,timing_s/ref,timing_s/adv,timing_s/update_actor,timing_s/step,timing_per_token_ms/update_actor,timing_per_token_ms/adv,timing_per_token_ms/gen,timing_per_token_ms/ref,perf/total_num_tokens,perf/time_per_step,perf/throughput,timing_s/testing
10,logs\rl\qwen15b_sft_verl_gigpo_medium_128_64_20260518_141425.log,,,,,1.7727272727272727,42924.0,42924.0,0.0,42924.0,42924.0,42924.0,0.217,0.062,0.002,0.006,1.0,0.002,0.01,0.0,0.0,0.001,0.0,0.035,0.229,65.712,75.424,131.692,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.487,58.0,15.0,0.0,1078.128,2220.0,202.0,0.0,0.0,0.0,0.0,4.875,5.0,4.0,0.0,0.0,0.26,6.112,0.017,2.079,5.938,0.008,6.841,20.999,0.159,0.0,6.969,0.138,42924.0,20.999,2044.05,
11,logs\rl\qwen15b_sft_verl_gigpo_medium_128_64_20260518_141425.log,,,,,1.85,41167.0,41167.0,0.0,41167.0,41167.0,41167.0,0.245,0.058,0.002,0.006,1.0,0.001,0.01,0.0,0.0,0.0,0.0,0.02,0.231,65.712,75.424,131.801,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.243,63.0,15.0,0.0,1087.378,2292.0,214.0,0.0,0.0,0.0,0.0,4.625,5.0,3.0,0.0,0.0,0.083,6.235,0.016,1.96,5.606,0.008,6.54,20.371,0.159,0.0,6.676,0.136,41167.0,20.371,2020.871,
12,logs\rl\qwen15b_sft_verl_gigpo_medium_128_64_20260518_141425.log,,,,,1.9047619047619047,44390.0,44390.0,0.0,44390.0,44390.0,44390.0,1.032,0.044,0.002,0.005,0.95,0.003,0.01,0.0,0.001,-0.0,0.0,0.278,0.221,65.712,75.424,131.984,0.0,12.0,0.0,-0.005,0.0,-0.1,-0.005,0.0,-0.1,-0.024,0.035,-0.165,-0.024,0.035,-0.165,31.55,128.0,15.0,0.05,1078.2,2033.0,210.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,7.527,0.017,2.223,6.141,0.008,7.329,23.252,0.165,0.0,5.964,0.138,44390.0,23.252,1909.092,
13,logs\rl\qwen15b_sft_verl_gigpo_medium_128_64_20260518_141425.log,,,,,1.6521739130434783,36798.0,36798.0,0.0,36798.0,36798.0,36798.0,0.349,0.059,0.002,0.006,1.0,0.0,0.01,0.0,0.0,-0.0,0.0,0.033,0.2,65.712,75.424,132.114,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.816,54.0,15.0,0.0,946.553,2159.0,210.0,0.0,0.0,0.0,0.0,4.75,5.0,3.0,0.0,0.0,0.1,6.015,0.018,2.612,5.754,0.008,6.681,21.094,0.182,0.0,7.256,0.156,36798.0,21.094,1744.467,
14,logs\rl\qwen15b_sft_verl_gigpo_medium_128_64_20260518_141425.log,,,,,1.5833333333333333,39443.0,39443.0,0.0,39443.0,39443.0,39443.0,0.588,0.049,0.002,0.005,1.0,0.0,0.01,0.0,0.0,-0.0,0.0,0.04,0.213,65.712,75.424,132.303,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.816,70.0,15.0,0.0,1015.158,1835.0,222.0,0.0,0.0,0.0,0.0,4.75,5.0,3.0,0.0,0.0,0.122,6.083,0.016,2.027,5.771,0.008,6.727,20.638,0.171,0.0,7.017,0.146,39443.0,20.638,1911.178,
15,logs\rl\qwen15b_sft_verl_gigpo_medium_128_64_20260518_141425.log,,,,,1.6666666666666667,46380.0,46380.0,0.0,46380.0,46380.0,46380.0,0.18,0.051,0.002,0.005,1.0,0.0,0.01,-0.0,0.0,0.0,0.0,13.649,0.24,65.712,75.424,132.377,0.0,15.0,0.0,1.25,10.0,0.0,1.25,10.0,0.0,-0.034,9.295,-10.705,-0.034,9.295,-10.705,27.15,128.0,15.0,0.025,1132.35,2236.0,195.0,0.0,1.25,10.0,0.0,5.0,5.0,5.0,0.0,0.125,0.125,6.789,0.018,2.159,6.081,0.009,7.084,22.146,0.153,0.0,6.251,0.131,46380.0,22.146,2094.288,
16,logs\rl\qwen15b_sft_verl_gigpo_medium_128_64_20260518_141425.log,1.65,0.0,0.172,0.194,1.7142857142857142,32771.0,32771.0,0.0,32771.0,32771.0,32771.0,0.671,0.06,0.002,0.005,0.944,0.0,0.01,0.0,0.0,0.0,0.0,0.239,0.194,65.712,75.424,132.547,0.0,16.0,0.0,-0.006,0.0,-0.1,-0.006,0.0,-0.1,-0.02,0.07,-0.13,-0.02,0.07,-0.13,29.472,128.0,15.0,0.028,880.833,1652.0,208.0,0.0,0.0,0.0,0.0,4.5,5.0,3.0,0.0,0.0,0.075,7.071,0.014,1.957,5.487,0.008,6.096,359.37,0.186,0.0,6.664,0.167,32771.0,359.37,91.19,338.733
17,logs\rl\qwen15b_sft_verl_gigpo_medium_128_64_20260518_141425.log,,,,,2.111111111111111,39771.0,39771.0,0.0,39771.0,39771.0,39771.0,0.175,0.055,0.002,0.006,1.0,0.006,0.01,-0.005,0.002,-0.001,0.0,12.044,0.199,65.712,75.424,133.083,0.0,17.0,0.0,1.316,10.0,0.0,1.316,10.0,0.0,-0.256,10.246,-9.754,-0.256,10.246,-9.754,24.395,62.0,15.0,0.0,1022.211,1996.0,210.0,0.0,1.25,10.0,0.0,4.75,5.0,3.0,0.0,0.125,0.2,6.032,0.015,2.015,5.749,0.008,7.278,21.103,0.183,0.0,6.507,0.145,39771.0,21.103,1884.625,
18,logs\rl\qwen15b_sft_verl_gigpo_medium_128_64_20260518_141425.log,,,,,1.6363636363636365,37085.0,37085.0,0.0,37085.0,37085.0,37085.0,0.263,0.046,0.002,0.005,1.0,0.0,0.01,0.0,0.0,0.003,0.0,0.056,0.211,65.712,75.424,133.276,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.222,65.0,15.0,0.0,1005.917,2235.0,210.0,0.0,0.0,0.0,0.0,4.5,5.0,3.0,0.0,0.0,0.119,6.638,0.015,1.896,5.466,0.008,6.394,20.422,0.172,0.0,7.613,0.147,37085.0,20.422,1815.918,
19,logs\rl\qwen15b_sft_verl_gigpo_medium_128_64_20260518_141425.log,,,,,1.565217391304348,41114.0,41114.0,0.0,41114.0,41114.0,41114.0,0.39,0.071,0.002,0.006,1.0,0.0,0.01,0.0,0.0,-0.001,0.0,0.094,0.225,65.712,75.424,133.466,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.056,75.0,15.0,0.0,1120.0,2350.0,191.0,0.0,0.0,0.0,0.0,4.5,5.0,3.0,0.0,0.0,0.123,6.359,0.017,2.072,5.556,0.008,6.716,20.734,0.163,0.0,8.009,0.135,41114.0,20.734,1982.938,
